tas,	Year, Month, Country
-3.3586,1974,1,KOR
-2.4064,1974,2,KOR
2.87738,1974,3,KOR
9.96776,1974,4,KOR
15.2425,1974,5,KOR
18.8176,1974,6,KOR
20.9093,1974,7,KOR
23.7082,1974,8,KOR
18.8179,1974,9,KOR
11.9746,1974,10,KOR
4.66047,1974,11,KOR
-1.0888,1974,12,KOR
-3.0384,1975,1,KOR
-1.6196,1975,2,KOR
3.59656,1975,3,KOR
10.952,1975,4,KOR
14.6922,1975,5,KOR
19.5872,1975,6,KOR
23.7584,1975,7,KOR
25.0899,1975,8,KOR
20.9273,1975,9,KOR
13.5682,1975,10,KOR
7.44997,1975,11,KOR
-1.4054,1975,12,KOR
-3.9894,1976,1,KOR
1.65908,1976,2,KOR
4.00538,1976,3,KOR
9.90996,1976,4,KOR
14.9392,1976,5,KOR
19.4813,1976,6,KOR
21.8741,1976,7,KOR
22.9052,1976,8,KOR
17.9222,1976,9,KOR
12.3793,1976,10,KOR
3.25876,1976,11,KOR
-0.6272,1976,12,KOR
-6.7496,1977,1,KOR
-2.6895,1977,2,KOR
4.4413,1977,3,KOR
11.0277,1977,4,KOR
15.549,1977,5,KOR
19.6268,1977,6,KOR
24.751,1977,7,KOR
22.5768,1977,8,KOR
19.7583,1977,9,KOR
14.9736,1977,10,KOR
6.26441,1977,11,KOR
1.75238,1977,12,KOR
-2.4522,1978,1,KOR
-2.4938,1978,2,KOR
3.57883,1978,3,KOR
10.917,1978,4,KOR
16.5562,1978,5,KOR
20.6576,1978,6,KOR
25.5175,1978,7,KOR
24.7753,1978,8,KOR
19.1768,1978,9,KOR
12.9333,1978,10,KOR
6.74978,1978,11,KOR
0.8766,1978,12,KOR
-0.1721,1979,1,KOR
0.74507,1979,2,KOR
5.03092,1979,3,KOR
9.69323,1979,4,KOR
14.9338,1979,5,KOR
20.466,1979,6,KOR
22.9853,1979,7,KOR
23.8253,1979,8,KOR
18.3503,1979,9,KOR
14.0906,1979,10,KOR
5.10812,1979,11,KOR
0.87102,1979,12,KOR
-3.0708,1980,1,KOR
-2.8649,1980,2,KOR
4.17424,1980,3,KOR
9.14321,1980,4,KOR
15.5584,1980,5,KOR
20.9136,1980,6,KOR
21.4308,1980,7,KOR
20.7139,1980,8,KOR
17.8595,1980,9,KOR
11.6565,1980,10,KOR
7.29416,1980,11,KOR
-3.3221,1980,12,KOR
-6.1803,1981,1,KOR
-2.0219,1981,2,KOR
3.8008,1981,3,KOR
10.7414,1981,4,KOR
14.8403,1981,5,KOR
19.8275,1981,6,KOR
24.5461,1981,7,KOR
23.1038,1981,8,KOR
18.1616,1981,9,KOR
11.8541,1981,10,KOR
3.06877,1981,11,KOR
-0.5981,1981,12,KOR
-3.7846,1982,1,KOR
-0.6101,1982,2,KOR
4.98137,1982,3,KOR
10.551,1982,4,KOR
16.4866,1982,5,KOR
20.2858,1982,6,KOR
23.0902,1982,7,KOR
24.0445,1982,8,KOR
18.6563,1982,9,KOR
13.8991,1982,10,KOR
7.02915,1982,11,KOR
-0.607,1982,12,KOR
