pr,	Year, Month, Country
163.863,1954,8,KOR
198.992,1954,9,KOR
62.7764,1954,10,KOR
32.6528,1954,11,KOR
37.4312,1954,12,KOR
10.2866,1955,1,KOR
45.8503,1955,2,KOR
34.3338,1955,3,KOR
64.9231,1955,4,KOR
67.1749,1955,5,KOR
190.619,1955,6,KOR
296.126,1955,7,KOR
206.481,1955,8,KOR
112.306,1955,9,KOR
34.1647,1955,10,KOR
49.7038,1955,11,KOR
11.3175,1955,12,KOR
16.8963,1956,1,KOR
37.6643,1956,2,KOR
163.721,1956,3,KOR
134.014,1956,4,KOR
135.995,1956,5,KOR
347.978,1956,6,KOR
289.816,1956,7,KOR
194.903,1956,8,KOR
266.288,1956,9,KOR
26.9809,1956,10,KOR
16.577,1956,11,KOR
7.72222,1956,12,KOR
47.7794,1957,1,KOR
26.3488,1957,2,KOR
19.6291,1957,3,KOR
142.255,1957,4,KOR
85.7951,1957,5,KOR
136.47,1957,6,KOR
475.698,1957,7,KOR
270.289,1957,8,KOR
18.4723,1957,9,KOR
76.3987,1957,10,KOR
38.0035,1957,11,KOR
62.1313,1957,12,KOR
51.4183,1958,1,KOR
20.1313,1958,2,KOR
29.1895,1958,3,KOR
158.29,1958,4,KOR
37.2878,1958,5,KOR
110.09,1958,6,KOR
324.894,1958,7,KOR
294.198,1958,8,KOR
235.597,1958,9,KOR
138.95,1958,10,KOR
62.7556,1958,11,KOR
55.6299,1958,12,KOR
20.0565,1959,1,KOR
93.1836,1959,2,KOR
92.0792,1959,3,KOR
105.662,1959,4,KOR
85.5275,1959,5,KOR
109.817,1959,6,KOR
243.956,1959,7,KOR
263.985,1959,8,KOR
227.294,1959,9,KOR
21.5454,1959,10,KOR
55.9688,1959,11,KOR
49.7062,1959,12,KOR
13.465,1960,1,KOR
14.3101,1960,2,KOR
81.9875,1960,3,KOR
56.5322,1960,4,KOR
163.27,1960,5,KOR
189.348,1960,6,KOR
244.717,1960,7,KOR
118.523,1960,8,KOR
218.214,1960,9,KOR
37.4925,1960,10,KOR
60.2633,1960,11,KOR
23.1091,1960,12,KOR
21.3357,1961,1,KOR
25.6432,1961,2,KOR
98.2333,1961,3,KOR
81.6508,1961,4,KOR
134.238,1961,5,KOR
111.295,1961,6,KOR
272.814,1961,7,KOR
343.908,1961,8,KOR
175.696,1961,9,KOR
142.083,1961,10,KOR
99.026,1961,11,KOR
47.5877,1961,12,KOR
14.0303,1962,1,KOR
19.1396,1962,2,KOR
28.871,1962,3,KOR
94.2001,1962,4,KOR
24.1426,1962,5,KOR
119.192,1962,6,KOR
221.398,1962,7,KOR
292.511,1962,8,KOR
245.752,1962,9,KOR
44.1901,1962,10,KOR
66.8822,1962,11,KOR
21.3121,1962,12,KOR
15.1897,1963,1,KOR
6.93534,1963,2,KOR
51.9614,1963,3,KOR
151.487,1963,4,KOR
186.948,1963,5,KOR
470.109,1963,6,KOR
370.596,1963,7,KOR
177.057,1963,8,KOR
33.1826,1963,9,KOR
35.0233,1963,10,KOR
18.6983,1963,11,KOR
21.037,1963,12,KOR
39.1008,1964,1,KOR
58.4949,1964,2,KOR
51.0743,1964,3,KOR
277.714,1964,4,KOR
105.996,1964,5,KOR
